arena_name,city,state_or_country,location
ARCO Arena (II),Sacramento,California,North Natomas
AT&T Center,San Antonio,Texas,East Side
AccorHotels Arena,Paris,France,Bercy
Air Canada Centre,Toronto,Ontario,Harbourfront
Alamodome,San Antonio,Texas,Downtown
Amalie Arena,Tampa,Florida,Channelside
America West Arena,Phoenix,Arizona,Downtown
American Airlines Center,Dallas,Texas,Victory Park
AmericanAirlines Arena,Miami,Florida,Waterfront
Amway Arena,Orlando,Florida,Downtown
Amway Center,Orlando,Florida,Parramore
BMO Harris Bradley Center,Milwaukee,Wisconsin,Downtown
Ball Arena,Denver,Colorado,Central Platte Valley
Bankers Life Fieldhouse,Indianapolis,Indiana,Downtown
Barclays Center,Brooklyn,New York,Atlantic Yards
Bradley Center,Milwaukee,Wisconsin,Downtown
Capital One Arena,Washington,D.C.,Penn Quarter
Charlotte Bobcats Arena,Charlotte,North Carolina,Uptown
Charlotte Coliseum,Charlotte,North Carolina,Southwest Charlotte
Chase Center,San Francisco,California,Mission Bay
Chesapeake Energy Arena,Oklahoma City,Oklahoma,Downtown
Compaq Center,Houston,Texas,Greenway Plaza
Conseco Fieldhouse,Indianapolis,Indiana,Downtown
Continental Airlines Arena,East Rutherford,New Jersey,Meadowlands
Crypto.com Arena,Los Angeles,California,South Park
Delta Center,Salt Lake City,Utah,Downtown
EnergySolutions Arena,Salt Lake City,Utah,Downtown
FTX Arena,Miami,Florida,Waterfront
FedEx Forum,Memphis,Tennessee,Downtown
FedExForum,Memphis,Tennessee,Downtown
First Union Center,Philadelphia,Pennsylvania,South Philadelphia
Fiserv Forum,Milwaukee,Wisconsin,Deer District
FleetCenter,Boston,Massachusetts,West End
Footprint Center,Phoenix,Arizona,Downtown
Ford Center,Oklahoma City,Oklahoma,Downtown
Frost Bank Center,San Antonio,Texas,East Side
Gainbridge Fieldhouse,Indianapolis,Indiana,Downtown
Golden 1 Center,Sacramento,California,Downtown Commons
Gund Arena,Cleveland,Ohio,Gateway District
Intuit Dome,Inglewood,California,Hollywood Park
Izod Center,East Rutherford,New Jersey,Meadowlands
Kaseya Center,Miami,Florida,Waterfront
KeyArena at Seattle Center,Seattle,Washington,Seattle Center
Kia Center,Orlando,Florida,Parramore
LLoyd Noble Center,Norman,Oklahoma,University of Oklahoma
Little Caesars Arena,Detroit,Michigan,Midtown
MCI Center,Washington,D.C.,Penn Quarter
Madison Square Garden (IV),New York,New York,Midtown Manhattan
Mexico City Arena,Mexico City,Mexico,Azcapotzalco
Moda Center,Portland,Oregon,Lloyd District
Moody Center,Austin,Texas,University of Texas
Mortgage Matchup Center,Cleveland,Ohio,Gateway District
New Orleans Arena,New Orleans,Louisiana,Central Business District
Oakland Arena,Oakland,California,Coliseum Complex
Oklahoma City Arena,Oklahoma City,Oklahoma,Downtown
Oracle Arena,Oakland,California,Coliseum Complex
Paycom Center,Oklahoma City,Oklahoma,Downtown
Pepsi Center,Denver,Colorado,Central Platte Valley
Pete Maravich Assembly Center,Baton Rouge,Louisiana,LSU Campus
Philips Arena,Atlanta,Georgia,Downtown
Phoenix Suns Arena,Phoenix,Arizona,Downtown
Power Balance Pavilion,Sacramento,California,North Natomas
Prudential Center,Newark,New Jersey,Downtown
Pyramid Arena,Memphis,Tennessee,Downtown
Quicken Loans Arena,Cleveland,Ohio,Gateway District
Rocket Arena,Houston,Texas,Greenway Plaza
Rocket Mortgage Fieldhouse,Cleveland,Ohio,Gateway District
Rose Garden Arena,Portland,Oregon,Lloyd District
SBC Center,San Antonio,Texas,East Side
STAPLES Center,Los Angeles,California,South Park
Saitama Super Arena,Saitama,Japan,Chūō-ku
Scotiabank Arena,Toronto,Ontario,Harbourfront
Sleep Train Arena,Sacramento,California,North Natomas
Smoothie King Center,New Orleans,Louisiana,Central Business District
Spectrum Center,Charlotte,North Carolina,Uptown
State Farm Arena,Atlanta,Georgia,Downtown
T-Mobile Arena,Las Vegas,Nevada,Paradise
TD Banknorth Garden,Boston,Massachusetts,West End
TD Garden,Boston,Massachusetts,West End
TD Waterhouse Centre,Orlando,Florida,Downtown
Talking Stick Resort Arena,Phoenix,Arizona,Downtown
Target Center,Minneapolis,Minnesota,Warehouse District
The Arena in Oakland,Oakland,California,Coliseum Complex
The O2 Arena,London,England,Greenwich Peninsula
The Palace of Auburn Hills,Auburn Hills,Michigan,Auburn Hills
Time Warner Cable Arena,Charlotte,North Carolina,Uptown
Toyota Center,Houston,Texas,Downtown
US Airways Center,Phoenix,Arizona,Downtown
UW–Milwaukee Panther Arena,Milwaukee,Wisconsin,Downtown
United Center,Chicago,Illinois,Near West Side
Verizon Center,Washington,D.C.,Penn Quarter
Vivint Arena,Salt Lake City,Utah,Downtown
Vivint Smart Home Arena,Salt Lake City,Utah,Downtown
Wachovia Center,Philadelphia,Pennsylvania,South Philadelphia
Wells Fargo Center,Philadelphia,Pennsylvania,South Philadelphia
Xfinity Mobile Arena,Manchester,New Hampshire,Downtown
